exp_id,especie,tier,modelo_generador,perfil,score_compuesto
EXP-20260506-001-mixed,Caladium bicolor,T0,openai_gpt_4o,random,0.3333
EXP-20260506-001-mixed,Caladium bicolor,T1,openai_gpt_4o,random,0.3889
EXP-20260506-001-mixed,Caladium bicolor,T3,openai_gpt_4o,random,0.9091
EXP-20260506-001-mixed,Calanthe calanthoides,T0,openai_gpt_4o,random,0.6111
EXP-20260506-001-mixed,Calanthe calanthoides,T0,anthropic_claude_sonnet_4_5,random,0.7778
EXP-20260506-001-mixed,Calanthe calanthoides,T1,openai_gpt_4o,random,0.2778
EXP-20260506-001-mixed,Calanthe calanthoides,T1,anthropic_claude_sonnet_4_5,random,0.6111
EXP-20260506-001-mixed,Calanthe calanthoides,T3,openai_gpt_4o,random,0.8636
EXP-20260506-001-mixed,Calanthe calanthoides,T3,anthropic_claude_sonnet_4_5,random,1.0
EXP-20260506-001-mixed,Cochliostema odoratissimum,T0,openai_gpt_4o,random,0.7778
EXP-20260506-001-mixed,Cochliostema odoratissimum,T1,openai_gpt_4o,random,0.6667
EXP-20260506-001-mixed,Cochliostema odoratissimum,T3,openai_gpt_4o,random,0.7273
EXP-20260506-001-mixed,Digitaria setigera,T0,openai_gpt_4o,random,0.5
EXP-20260506-001-mixed,Digitaria setigera,T1,openai_gpt_4o,random,0.5
EXP-20260506-001-mixed,Digitaria setigera,T3,openai_gpt_4o,random,0.7727
EXP-20260506-001-mixed,Gordonia fruticosa,T0,openai_gpt_4o,random,0.4444
EXP-20260506-001-mixed,Gordonia fruticosa,T1,openai_gpt_4o,random,0.3889
EXP-20260506-001-mixed,Gordonia fruticosa,T3,openai_gpt_4o,random,0.5909
EXP-20260506-001-mixed,Miconia aeruginosa,T0,openai_gpt_4o,random,0.5
EXP-20260506-001-mixed,Miconia aeruginosa,T0,anthropic_claude_sonnet_4_5,random,0.5
EXP-20260506-001-mixed,Miconia aeruginosa,T1,openai_gpt_4o,random,0.2
EXP-20260506-001-mixed,Miconia aeruginosa,T1,anthropic_claude_sonnet_4_5,random,0.6111
EXP-20260506-001-mixed,Miconia aeruginosa,T3,openai_gpt_4o,random,0.7727
EXP-20260506-001-mixed,Miconia aeruginosa,T3,anthropic_claude_sonnet_4_5,random,0.8889
EXP-20260506-001-mixed,Oplismenus burmanni,T0,openai_gpt_4o,random,0.4444
EXP-20260506-001-mixed,Oplismenus burmanni,T0,anthropic_claude_sonnet_4_5,random,0.2
EXP-20260506-001-mixed,Oplismenus burmanni,T1,openai_gpt_4o,random,0.4444
EXP-20260506-001-mixed,Oplismenus burmanni,T1,anthropic_claude_sonnet_4_5,random,0.2
EXP-20260506-001-mixed,Oplismenus burmanni,T3,openai_gpt_4o,random,0.7273
EXP-20260506-001-mixed,Oplismenus burmanni,T3,anthropic_claude_sonnet_4_5,random,0.8636
EXP-20260506-001-mixed,Paspalum decumbens,T0,openai_gpt_4o,random,0.5556
EXP-20260506-001-mixed,Paspalum decumbens,T1,openai_gpt_4o,random,0.3333
EXP-20260506-001-mixed,Paspalum decumbens,T3,openai_gpt_4o,random,1.0
EXP-20260506-001-mixed,Paspalum decumbens,T3,anthropic_claude_sonnet_4_5,random,0.9444
EXP-20260506-001-mixed,Phenax rugosus,T0,openai_gpt_4o,random,0.7778
EXP-20260506-001-mixed,Phenax rugosus,T0,anthropic_claude_sonnet_4_5,random,0.4444
EXP-20260506-001-mixed,Phenax rugosus,T1,openai_gpt_4o,random,0.4444
EXP-20260506-001-mixed,Phenax rugosus,T1,anthropic_claude_sonnet_4_5,random,0.6667
EXP-20260506-001-mixed,Phenax rugosus,T3,openai_gpt_4o,random,1.0
EXP-20260506-001-mixed,Phenax rugosus,T3,anthropic_claude_sonnet_4_5,random,1.0
EXP-20260506-001-mixed,Sorocea affinis,T0,openai_gpt_4o,random,0.5556
EXP-20260506-001-mixed,Sorocea affinis,T0,anthropic_claude_sonnet_4_5,random,0.8333
EXP-20260506-001-mixed,Sorocea affinis,T1,openai_gpt_4o,random,0.4444
EXP-20260506-001-mixed,Sorocea affinis,T1,anthropic_claude_sonnet_4_5,random,0.5
EXP-20260506-001-mixed,Sorocea affinis,T3,openai_gpt_4o,random,0.9091
EXP-20260506-001-mixed,Sorocea affinis,T3,anthropic_claude_sonnet_4_5,random,0.9444
EXP-20260506-001-mixed,Spathiphyllum friedrichsthalii,T0,openai_gpt_4o,random,0.4444
EXP-20260506-001-mixed,Spathiphyllum friedrichsthalii,T0,anthropic_claude_sonnet_4_5,random,0.6667
EXP-20260506-001-mixed,Spathiphyllum friedrichsthalii,T1,openai_gpt_4o,random,0.5556
EXP-20260506-001-mixed,Spathiphyllum friedrichsthalii,T1,anthropic_claude_sonnet_4_5,random,0.6667
EXP-20260506-001-mixed,Spathiphyllum friedrichsthalii,T3,openai_gpt_4o,random,0.8182
EXP-20260506-001-mixed,Spathiphyllum friedrichsthalii,T3,anthropic_claude_sonnet_4_5,random,0.6111
EXP-20260506-001-mixed,Tillandsia bulbosa,T0,openai_gpt_4o,random,0.5556
EXP-20260506-001-mixed,Tillandsia bulbosa,T0,anthropic_claude_sonnet_4_5,random,0.8333
EXP-20260506-001-mixed,Tillandsia bulbosa,T1,openai_gpt_4o,random,0.4444
EXP-20260506-001-mixed,Tillandsia bulbosa,T1,anthropic_claude_sonnet_4_5,random,0.3889
EXP-20260506-001-mixed,Tillandsia bulbosa,T3,openai_gpt_4o,random,0.6364
EXP-20260506-001-mixed,Tillandsia bulbosa,T3,anthropic_claude_sonnet_4_5,random,0.8889
EXP-20260506-001-mixed,Tillandsia leiboldiana,T0,openai_gpt_4o,random,0.6667
EXP-20260506-001-mixed,Tillandsia leiboldiana,T0,anthropic_claude_sonnet_4_5,random,0.7778
EXP-20260506-001-mixed,Tillandsia leiboldiana,T1,openai_gpt_4o,random,0.6667
EXP-20260506-001-mixed,Tillandsia leiboldiana,T1,anthropic_claude_sonnet_4_5,random,0.5
EXP-20260506-001-mixed,Tillandsia leiboldiana,T3,openai_gpt_4o,random,0.7273
EXP-20260506-001-mixed,Tillandsia leiboldiana,T3,anthropic_claude_sonnet_4_5,random,0.8636
EXP-20260506-001-mixed,Tillandsia usneoides,T0,openai_gpt_4o,random,0.5556
EXP-20260506-001-mixed,Tillandsia usneoides,T0,anthropic_claude_sonnet_4_5,random,0.7778
EXP-20260506-001-mixed,Tillandsia usneoides,T1,openai_gpt_4o,random,0.5556
EXP-20260506-001-mixed,Tillandsia usneoides,T1,anthropic_claude_sonnet_4_5,random,0.7778
EXP-20260506-001-mixed,Tillandsia usneoides,T3,openai_gpt_4o,random,0.7273
EXP-20260506-001-mixed,Tillandsia usneoides,T3,anthropic_claude_sonnet_4_5,random,0.8636
EXP-20260506-001-mixed,Xanthosoma undipes,T0,openai_gpt_4o,random,0.6667
EXP-20260506-001-mixed,Xanthosoma undipes,T0,anthropic_claude_sonnet_4_5,random,0.8889
EXP-20260506-001-mixed,Xanthosoma undipes,T1,openai_gpt_4o,random,0.6667
EXP-20260506-001-mixed,Xanthosoma undipes,T1,anthropic_claude_sonnet_4_5,random,0.7778
EXP-20260506-001-mixed,Xanthosoma undipes,T3,openai_gpt_4o,random,0.6667
EXP-20260506-001-mixed,Xanthosoma undipes,T3,anthropic_claude_sonnet_4_5,random,0.8889
