"species","gid"
"Telaranea_oligophylla",89502
"Telaranea_plumulosa",89503
"Telaranea_pseudozoopsis",89504
"Telaranea_seriatitexta",89505
"Telesonix_heucheriformis",89506
"Telipogon_helleri",89507
"Telipogon_hirtzii",89508
"Telesonix_jamesii",89509
"Teliostachya_alopecuroides",89510
"Thelopsis_rubella",90191
"Teliostachya_lanceolata",89511
"Teliostachya_petraea",89512
"Telipogon_acicularis",89513
"Telipogon_alticola",89514
"Telipogon_ampliflorus",89515
"Telipogon_anacristinae",89516
"Telipogon_andicola",89517
"Telipogon_antioquianus",89518
"Telipogon_antisuyensis",89519
"Telipogon_astroglossus",89520
"Telipogon_boliviensis",89521
"Telipogon_bowmanii",89522
"Telipogon_bullpenensis",89523
"Telipogon_caroliae",89524
"Telipogon_cascajalensis",89525
"Telipogon_caulescens",89526
"Telipogon_chiriquiensis",89527
"Telipogon_christobalensis",89528
"Telipogon_costaricensis",89529
"Telipogon_cuyujensis",89530
"Telipogon_dalstromii",89531
"Telipogon_dendriticus",89532
"Telipogon_dodsonii",89533
"Telipogon_frymirei",89535
"Telipogon_griesbeckii",89536
"Telipogon_hagsateri",89537
"Telipogon_hartwegii",89538
"Telipogon_ionopogon",89539
"Telipogon_jucusbambae",89540
"Telipogon_lankesteri",89541
"Telipogon_latifolius",89542
"Telipogon_lehmannii",89543
"Telipogon_leila_alexandrae",89544
"Telipogon_machupicchuensis",89545
"Telipogon_maduroi",89546
"Telipogon_medusae",89547
"Telipogon_minutiflorus",89548
"Telipogon_monteverdensis",89549
"Telipogon_monticola",89550
"Telipogon_obovatus",89551
"Telipogon_pampatamboensis",89552
"Telipogon_panamensis",89553
"Telipogon_parvulus",89554
"Telipogon_paucartambensis",89555
"Telipogon_penningtonii",89556
"Telipogon_pogonostalix",89557
"Telipogon_pulcher",89558
"Telipogon_radiatus",89559
"Telipogon_retanarum",89560
"Telipogon_seibertii",89561
"Telipogon_semipictus",89562
"Telipogon_setosus",89563
"Telipogon_standleyi",89564
"Telipogon_steinii",89565
"Telipogon_stinae",89566
"Telipogon_storkii",89567
"Telipogon_vampyrus",89569
"Telipogon_vollesii",89570
"Telipogon_williamsii",89571
"Tephroseris_fuscata",89572
"Telitoxicum_duckei",89573
"Telitoxicum_glaziovii",89574
"Telitoxicum_inopinatum",89575
"Telitoxicum_peruvianum",89577
"Terminalia_quintalata",89716
"Telitoxicum_rodriguesii",89578
"Tellima_grandiflora",89579
"Telminostelma_foetidum",89580
"Teloschistes_californicus",89581
"Teloschistes_contortuplicatus",89582
"Teloschistes_exilis",89583
"Teloschistes_flavicans",89584
"Telosiphonia_brachysiphon",89585
"Telosiphonia_hypoleuca",89586
"Telosiphonia_lanuginosa",89587
"Telosiphonia_macrosiphon",89588
"Temnadenia_odorifera",89589
"Temnadenia_ornata",89590
"Temnadenia_violacea",89591
"Temnoma_pilosum",89592
"Temnoma_subintegrum",89593
"Tephrocactus_alexanderi",89594
"Tephrocactus_geometricus",89595
"Tephrocactus_halophilus",89596
"Tephrocactus_molinensis",89597
"Tephromela_aglaeida",89598
"Tephromela_armeniaca",89599
"Tephromela_atra",89600
"Tephromela_testaceoatra",89601
"Tephroseris_atropurpurea",89602
"Tephroseris_newcombei",89603
"Tephroseris_palustris",89604
"Tephroseris_yukonensis",89605
"Tephrosia_adunca",89606
"Tephrosia_ambigua",89607
"Tephrosia_angustissima",89608
"Tephrosia_belizensis",89609
"Tephrosia_candida",89610
"Tephrosia_carrollii",89611
"Tephrosia_chinensis",89612
"Tephrosia_egregia",89613
"Tephrosia_feddemana",89614
"Tephrosia_florida",89615
"Tephrosia_floridana",89616
"Tephrosia_foliolosa",89617
"Tephrosia_grandiflora",89618
"Tephrosia_guayameoensis",89619
"Tephrosia_hassleri",89620
"Tephrosia_hispidula",89621
"Tephrosia_hookeriana",89622
"Tephrosia_lanata",89623
"Tephrosia_leiocarpa",89624
"Tephrosia_leucantha",89625
"Tephrosia_decumbens",89641
"Tephrosia_diversifolia",89642
"Tephrosia_purpurea",89643
"Tephrosia_rhodantha",89644
"Tephrosia_rufescens",89645
"Tephrosia_major",89649
"Ternstroemia_hartii",89650
"Tephrosia_submontana",89661
"Tephrosia_subtriflora",89662
"Tephrosia_tepicana",89663
"Tephrosia_thurberi",89664
"Terminalia_ramatuella",89717
"Tephrothamnus_paradoxus",89672
"Tepualia_stipularis",89673
"Tepuia_intermedia",89674
"Tephrosia_chrysophylla",89637
"Tephrosia_cinerea",89638
"Tephrosia_conzattii",89639
"Tephrosia_cuernavacana",89640
"Ternstroemia_asymmetrica",89730
"Ternstroemia_brasiliensis",89731
"Ternstroemia_candolleana",89732
"Tephrosia_lindheimeri",89646
"Tephrosia_macrantha",89647
"Tephrosia_madrensis",89648
"Tetracera_boomii",89843
"Thermopsis_robusta",90541
"Tephrosia_rugelii",89651
"Tephrosia_saxicola",89652
"Tephrosia_scopulorum",89653
"Tephrosia_seemannii",89654
"Tephrosia_senna",89655
"Tephrosia_sessiliflora",89656
"Tephrosia_simulans",89657
"Tephrosia_sinapou",89658
"Tephrosia_sousae",89659
"Tephrosia_spicata",89660
"Tephrosia_tuitoensis",89665
"Tephrosia_vernicosa",89666
"Tephrosia_watsoniana",89670
